0, map_preloadres()
4543,  pos=4Î»ÖÃÍæ¼Ò¿ªÊ¼¶ÏÏß±£»¤
33113, i=:17    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 17 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =×£ÈÚ·òÈË ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =6 ,tab_infor[i].use_id =123506690 ,tab_infor[i].disconnectiontime= 0
33113, i=:18    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 18 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =¸ÊÄþ ,tab_infor[i].kill_num =8 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =122001918 ,tab_infor[i].disconnectiontime= 0
33113, i=:19    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 19 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =ÕÅàA ,tab_infor[i].kill_num =2 , tab_infor[i].death_num =3 ,tab_infor[i].use_id =16750869 ,tab_infor[i].disconnectiontime= 0
33113, i=:20    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 20 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =µäÎ¤ ,tab_infor[i].kill_num =3 , tab_infor[i].death_num =4 ,tab_infor[i].use_id =25211572 ,tab_infor[i].disconnectiontime= 0
33113, free_local = 1 _____________________
33113,  XJ_LG_Event num=1
97677,  pos=12Î»ÖÃÍæ¼Ò¼ÓÈëÓÎÏ·
97677, i=:1    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 1 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =²ÜØ§ ,tab_infor[i].kill_num =9 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =88616662 ,tab_infor[i].disconnectiontime= 0
97677, i=:2    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 2 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Âí³¬ ,tab_infor[i].kill_num =13 , tab_infor[i].death_num =5 ,tab_infor[i].use_id =73996569 ,tab_infor[i].disconnectiontime= 0
97677, i=:3    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 3 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =¼ÖÚ¼ ,tab_infor[i].kill_num =9 , tab_infor[i].death_num =4 ,tab_infor[i].use_id =124265869 ,tab_infor[i].disconnectiontime= 0
97677, i=:4    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 4 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Â³Ëà ,tab_infor[i].kill_num =2 , tab_infor[i].death_num =4 ,tab_infor[i].use_id =124504996 ,tab_infor[i].disconnectiontime= 0
